Res|FoodType
0|korean
1|korean
2|korean,cafes
3|sandwiches,hotdogs
4|coffee,vegetarian,sandwiches
5|asianfusion
6|pizza
7|pizza
8|pizza,tradamerican,bars
9|newamerican,pubs
10|mexican
11|asianfusion,comfortfood,italian
12|korean,bbq
13|newamerican
14|newamerican,breweries
15|italian,pizza
16|indpak
17|mediterranean,greek
18|sandwiches
19|asianfusion,lounges
20|chicken_wings,bbq
21|caribbean
22|salad,pizza,sandwiches
23|sportsbars,tradamerican,chicken_wings
24|hotdogs,mexican
25|newamerican,breweries,gastropubs
26|seafood,lounges
27|indpak
28|tapas,spanish,bars
29|sushi
30|japanese,sushi
31|steak
32|tradamerican
33|bars,irish
34|newamerican
35|sandwiches
36|sandwiches,salad,soup
37|pizza
38|thai
